# iteration  l2_NN  l2_FF  l2_mFF
0.000000e+00 2.351759e+00 2.577320e+00 1.716602e+00
1.000000e+02 7.981139e-01 2.442393e+00 8.462045e-01
2.000000e+02 1.750187e+00 2.316539e+00 4.735907e-01
3.000000e+02 4.976350e+00 2.183488e+00 2.342877e-01
4.000000e+02 9.078725e+00 2.059580e+00 2.116128e-01
5.000000e+02 7.181544e+00 1.936904e+00 2.172299e-01
6.000000e+02 4.769743e+00 1.816915e+00 2.084936e-01
7.000000e+02 4.716513e+00 1.703022e+00 1.973444e-01
8.000000e+02 4.331077e+00 1.592236e+00 1.771222e-01
9.000000e+02 3.452375e+00 1.487358e+00 1.710326e-01
1.000000e+03 4.348701e+00 1.388584e+00 1.672116e-01
1.100000e+03 3.435047e+00 1.294783e+00 1.600350e-01
1.200000e+03 3.339875e+00 1.206329e+00 1.506852e-01
1.300000e+03 2.589305e+00 1.122192e+00 1.457197e-01
1.400000e+03 3.568670e+00 1.042498e+00 1.412341e-01
1.500000e+03 2.995966e+00 9.674702e-01 1.358451e-01
1.600000e+03 2.961705e+00 8.977311e-01 1.318275e-01
1.700000e+03 2.802603e+00 8.314799e-01 1.294843e-01
1.800000e+03 2.383502e+00 7.708289e-01 1.237782e-01
1.900000e+03 1.876790e+00 7.138023e-01 1.141548e-01
2.000000e+03 1.636326e+00 6.614876e-01 1.159036e-01
2.100000e+03 1.698381e+00 6.136519e-01 1.088669e-01
2.200000e+03 2.118907e+00 5.691674e-01 1.053081e-01
2.300000e+03 2.131154e+00 5.303682e-01 1.063971e-01
2.400000e+03 1.855873e+00 4.942747e-01 9.950967e-02
2.500000e+03 1.977309e+00 4.657117e-01 9.815131e-02
2.600000e+03 2.234596e+00 4.390048e-01 9.611715e-02
2.700000e+03 2.280901e+00 4.176093e-01 8.819985e-02
2.800000e+03 2.191139e+00 4.106694e-01 9.028561e-02
2.900000e+03 2.132147e+00 3.936705e-01 8.281305e-02
3.000000e+03 2.570482e+00 3.787703e-01 7.999877e-02
3.100000e+03 2.571959e+00 3.662171e-01 7.965746e-02
3.200000e+03 2.520236e+00 3.560542e-01 7.664068e-02
3.300000e+03 3.277944e+00 3.506290e-01 6.836198e-02
3.400000e+03 2.936316e+00 3.464701e-01 6.501343e-02
3.500000e+03 2.724860e+00 3.447803e-01 5.158822e-02
3.600000e+03 2.503819e+00 3.449905e-01 5.404372e-02
3.700000e+03 2.180565e+00 3.485866e-01 6.746883e-02
3.800000e+03 2.360429e+00 3.505454e-01 7.692291e-02
3.900000e+03 2.410370e+00 3.506190e-01 6.750180e-02
4.000000e+03 2.570442e+00 3.526892e-01 6.982609e-02
4.100000e+03 2.670646e+00 3.507032e-01 6.997438e-02
4.200000e+03 2.604741e+00 3.503839e-01 7.069586e-02
4.300000e+03 2.740609e+00 3.496278e-01 7.151235e-02
4.400000e+03 2.619858e+00 3.500184e-01 4.941179e-02
4.500000e+03 2.761840e+00 3.514957e-01 4.498503e-02
4.600000e+03 2.798067e+00 3.511231e-01 1.034397e-01
4.700000e+03 3.109637e+00 3.537289e-01 4.923462e-02
4.800000e+03 2.351540e+00 3.638573e-01 6.071785e-02
4.900000e+03 2.473160e+00 3.607998e-01 7.322206e-02
5.000000e+03 2.270328e+00 3.593752e-01 6.238039e-02
5.100000e+03 2.557351e+00 3.575256e-01 5.998770e-02
5.200000e+03 2.378738e+00 3.575573e-01 6.056748e-02
5.300000e+03 2.477227e+00 3.590332e-01 4.299170e-02
5.400000e+03 2.177355e+00 3.569404e-01 4.488218e-02
5.500000e+03 2.325863e+00 3.576747e-01 5.331036e-02
5.600000e+03 2.164691e+00 3.639080e-01 5.210212e-02
5.700000e+03 2.307464e+00 3.721700e-01 5.457798e-02
5.800000e+03 2.585950e+00 3.700193e-01 3.049671e-02
5.900000e+03 2.369892e+00 3.679311e-01 4.369517e-02
6.000000e+03 2.238732e+00 3.671530e-01 3.762784e-02
6.100000e+03 2.422845e+00 3.664795e-01 4.164381e-02
6.200000e+03 2.323324e+00 3.658047e-01 3.692949e-02
6.300000e+03 2.181212e+00 3.653010e-01 5.292497e-02
6.400000e+03 2.051402e+00 3.669141e-01 4.197552e-02
6.500000e+03 2.317781e+00 3.652931e-01 2.785450e-02
6.600000e+03 2.552201e+00 3.643064e-01 4.659391e-02
6.700000e+03 2.344446e+00 3.659731e-01 3.677678e-02
6.800000e+03 2.022901e+00 3.682105e-01 3.000772e-02
6.900000e+03 2.052304e+00 3.676656e-01 2.925596e-02
7.000000e+03 2.013316e+00 3.746258e-01 2.740269e-02
7.100000e+03 1.969980e+00 3.728958e-01 2.929176e-02
7.200000e+03 1.834867e+00 3.725064e-01 2.708151e-02
7.300000e+03 2.075468e+00 3.708330e-01 4.125463e-02
7.400000e+03 1.883894e+00 3.704154e-01 6.419149e-02
7.500000e+03 2.030050e+00 3.701975e-01 3.870065e-02
7.600000e+03 2.080194e+00 3.695892e-01 3.289504e-02
7.700000e+03 1.868275e+00 3.701814e-01 2.669902e-02
