# iteration  loss_bc  loss_res  l2_error
0.000000e+00 1.098680e+01 2.328457e+06 2.358264e+00
1.000000e+02 8.871468e+00 1.906630e+03 2.174255e+00
2.000000e+02 7.750290e+00 6.384564e+02 2.054155e+00
3.000000e+02 6.887659e+00 4.786227e+02 1.936503e+00
4.000000e+02 6.131552e+00 3.147486e+02 1.824218e+00
5.000000e+02 5.449183e+00 3.574934e+02 1.712663e+00
6.000000e+02 4.882071e+00 1.839963e+02 1.606064e+00
7.000000e+02 4.345158e+00 1.626989e+02 1.503808e+00
8.000000e+02 3.883233e+00 1.312866e+02 1.405289e+00
9.000000e+02 3.474753e+00 9.192084e+01 1.312294e+00
1.000000e+03 3.095464e+00 9.580229e+01 1.224061e+00
1.100000e+03 2.741168e+00 7.654865e+01 1.140210e+00
1.200000e+03 2.423703e+00 6.271183e+01 1.060341e+00
1.300000e+03 2.148461e+00 8.907423e+01 9.846020e-01
1.400000e+03 1.890701e+00 7.756706e+01 9.148510e-01
1.500000e+03 1.668189e+00 4.118861e+01 8.475317e-01
1.600000e+03 1.468734e+00 6.758024e+01 7.847291e-01
1.700000e+03 1.289348e+00 3.261366e+01 7.261412e-01
1.800000e+03 1.139502e+00 6.928957e+01 6.721748e-01
1.900000e+03 9.997419e-01 8.187061e+01 6.218079e-01
2.000000e+03 8.905358e-01 7.751943e+01 5.765320e-01
2.100000e+03 7.893116e-01 8.402815e+01 5.350013e-01
2.200000e+03 7.084924e-01 7.143016e+01 4.968628e-01
2.300000e+03 6.382220e-01 1.921211e+02 4.639869e-01
2.400000e+03 5.876630e-01 3.518553e+02 4.377485e-01
2.500000e+03 5.341673e-01 5.022883e+02 4.137901e-01
2.600000e+03 4.887078e-01 5.690220e+02 3.934512e-01
2.700000e+03 4.551382e-01 2.212392e+02 3.799512e-01
2.800000e+03 4.375598e-01 1.013239e+02 3.601893e-01
2.900000e+03 4.143337e-01 1.821051e+02 3.486521e-01
3.000000e+03 3.884572e-01 6.973814e+01 3.381886e-01
3.100000e+03 3.927691e-01 4.082366e+02 3.313787e-01
3.200000e+03 3.894644e-01 4.185513e+02 3.237661e-01
3.300000e+03 3.634807e-01 6.543683e+02 3.224108e-01
3.400000e+03 3.568688e-01 1.592440e+02 3.177895e-01
3.500000e+03 3.558337e-01 9.457224e+01 3.148136e-01
3.600000e+03 3.531665e-01 1.965172e+02 3.122989e-01
3.700000e+03 3.312709e-01 1.411059e+03 3.132488e-01
3.800000e+03 3.334619e-01 1.722001e+03 3.185628e-01
3.900000e+03 3.361924e-01 1.743994e+02 3.157009e-01
4.000000e+03 3.349714e-01 9.267923e+01 3.119414e-01
4.100000e+03 3.389860e-01 7.903491e+01 3.104589e-01
4.200000e+03 3.411449e-01 6.094881e+01 3.096975e-01
4.300000e+03 3.432941e-01 3.821526e+02 3.111945e-01
4.400000e+03 3.404683e-01 1.534409e+02 3.082413e-01
4.500000e+03 3.390186e-01 2.994718e+02 3.077280e-01
4.600000e+03 2.965707e-01 8.338421e+02 3.104987e-01
4.700000e+03 3.297374e-01 1.758068e+02 3.117631e-01
4.800000e+03 3.328136e-01 7.652599e+01 3.108479e-01
4.900000e+03 3.347649e-01 3.692409e+01 3.092065e-01
5.000000e+03 3.335441e-01 2.269458e+01 3.080322e-01
5.100000e+03 3.344047e-01 1.955952e+01 3.069790e-01
5.200000e+03 3.297165e-01 1.287036e+02 3.055277e-01
5.300000e+03 3.243313e-01 7.087886e+02 3.071210e-01
5.400000e+03 3.142624e-01 8.784410e+02 3.094037e-01
5.500000e+03 3.303944e-01 2.205451e+02 3.118708e-01
5.600000e+03 3.378203e-01 2.247769e+02 3.095588e-01
5.700000e+03 3.347088e-01 3.584763e+01 3.087139e-01
5.800000e+03 3.376268e-01 1.732957e+01 3.070307e-01
5.900000e+03 3.360217e-01 3.135770e+01 3.070334e-01
6.000000e+03 3.371544e-01 7.512054e+00 3.056721e-01
6.100000e+03 3.320019e-01 2.904322e+01 3.050143e-01
6.200000e+03 3.326557e-01 5.178904e+01 3.044276e-01
6.300000e+03 3.278452e-01 1.388418e+02 3.047092e-01
6.400000e+03 3.159203e-01 3.645647e+02 3.035619e-01
6.500000e+03 3.313997e-01 9.034199e+01 3.052035e-01
6.600000e+03 3.326017e-01 7.878350e+01 3.037669e-01
6.700000e+03 3.315821e-01 1.722978e+02 3.030718e-01
6.800000e+03 3.258052e-01 1.440078e+02 3.034709e-01
6.900000e+03 3.265908e-01 1.165186e+02 3.029502e-01
7.000000e+03 3.299634e-01 3.408727e+02 3.024987e-01
7.100000e+03 3.112181e-01 8.214177e+02 3.050282e-01
7.200000e+03 3.257108e-01 1.040702e+03 3.085883e-01
7.300000e+03 3.237134e-01 4.520916e+01 3.088977e-01
7.400000e+03 3.264704e-01 4.687562e+00 3.070046e-01
7.500000e+03 3.289114e-01 3.097891e+00 3.051848e-01
7.600000e+03 3.303645e-01 3.034142e+00 3.039771e-01
7.700000e+03 3.303305e-01 3.251221e+00 3.032236e-01
7.800000e+03 3.287533e-01 1.025737e+01 3.026823e-01
7.900000e+03 3.273650e-01 4.074492e+00 3.019817e-01
8.000000e+03 3.251752e-01 4.505795e+00 3.014391e-01
8.100000e+03 3.249983e-01 7.216668e+00 3.001401e-01
8.200000e+03 3.250103e-01 1.195864e+01 2.997750e-01
8.300000e+03 3.197066e-01 2.444737e+01 2.989281e-01
8.400000e+03 3.204880e-01 6.570437e+01 2.991753e-01
8.500000e+03 3.178288e-01 2.548965e+02 2.969623e-01
