# iteration  loss_bc  loss_res  l2_error
0.000000e+00 3.804281e+00 8.676456e+02 1.682188e+00
1.000000e+02 2.725822e-02 4.105944e-01 5.199698e-02
2.000000e+02 2.397004e-03 1.270075e-01 3.653604e-02
3.000000e+02 9.808991e-04 5.481071e-02 1.339486e-02
4.000000e+02 1.780065e-03 6.821729e-02 2.092526e-02
5.000000e+02 6.059571e-04 5.758237e-02 2.480934e-02
6.000000e+02 5.061766e-04 5.264924e-02 2.297151e-02
7.000000e+02 3.621994e-05 4.725626e-02 1.499943e-02
8.000000e+02 1.642852e-04 4.668958e-02 3.449307e-03
9.000000e+02 9.627124e-05 3.723909e-02 7.621646e-03
1.000000e+03 1.623030e-04 3.050607e-02 1.307794e-02
1.100000e+03 3.177418e-04 1.673659e-02 1.225480e-02
1.200000e+03 1.091689e-05 2.294305e-02 4.547219e-03
1.300000e+03 1.978089e-05 1.949686e-02 2.179738e-02
1.400000e+03 7.184416e-05 1.659823e-02 1.653435e-02
1.500000e+03 1.423761e-05 2.075836e-02 1.023359e-02
1.600000e+03 1.020669e-04 1.578389e-02 5.235853e-03
1.700000e+03 3.424426e-05 9.396717e-03 1.555011e-02
1.800000e+03 4.527867e-05 1.643980e-02 6.659234e-03
1.900000e+03 1.353355e-04 8.304550e-03 4.983935e-03
2.000000e+03 2.346955e-04 1.515579e-02 4.228783e-03
2.100000e+03 3.327101e-05 8.893014e-03 7.688798e-03
2.200000e+03 3.259301e-05 1.272285e-02 4.986895e-03
2.300000e+03 1.797930e-05 4.855135e-03 4.503558e-03
2.400000e+03 6.601413e-05 4.667327e-03 2.446541e-03
2.500000e+03 1.014447e-05 8.681136e-03 7.007364e-03
2.600000e+03 1.864725e-05 1.541723e-02 2.554210e-03
2.700000e+03 8.953002e-05 6.156856e-03 5.487780e-03
2.800000e+03 1.169498e-05 1.909216e-02 2.246313e-03
2.900000e+03 1.506016e-05 7.077698e-03 1.723162e-03
3.000000e+03 9.428037e-05 4.310586e-03 2.592604e-03
3.100000e+03 2.394860e-05 5.300200e-03 7.753426e-03
3.200000e+03 2.024425e-04 5.553553e-03 1.330528e-02
3.300000e+03 1.801107e-04 8.497222e-03 1.001264e-02
3.400000e+03 2.997040e-06 5.478569e-03 4.467673e-03
3.500000e+03 4.598388e-05 3.780854e-03 4.734675e-03
3.600000e+03 5.996475e-05 4.598914e-03 4.618311e-03
3.700000e+03 3.453266e-05 2.172324e-02 1.044194e-02
3.800000e+03 7.848303e-06 5.181343e-03 4.024224e-03
3.900000e+03 7.936246e-05 4.252794e-03 3.779537e-03
4.000000e+03 2.884658e-06 2.345559e-03 3.517670e-03
4.100000e+03 1.673062e-04 1.043805e-02 2.864410e-03
4.200000e+03 5.773587e-05 4.176977e-03 5.642681e-03
4.300000e+03 2.097117e-05 1.936620e-03 1.018668e-02
4.400000e+03 5.021183e-05 2.415467e-03 2.827263e-03
4.500000e+03 3.356999e-05 1.857148e-03 3.715406e-03
4.600000e+03 9.679618e-06 2.497899e-03 3.773592e-03
4.700000e+03 4.541313e-05 6.091900e-03 4.843305e-03
4.800000e+03 9.633247e-05 8.469325e-03 7.538514e-03
4.900000e+03 4.401441e-05 2.000090e-03 1.006790e-02
5.000000e+03 2.022242e-05 1.592725e-03 2.416466e-03
5.100000e+03 4.109298e-05 4.705288e-03 4.326944e-03
5.200000e+03 7.754387e-06 2.724253e-03 1.390869e-03
5.300000e+03 2.461239e-05 1.636401e-03 2.149839e-03
5.400000e+03 1.652679e-05 2.045749e-02 6.127282e-03
5.500000e+03 1.521839e-05 3.109866e-03 1.905932e-03
5.600000e+03 1.394389e-05 3.206449e-03 3.272890e-03
5.700000e+03 1.277528e-04 3.391753e-02 5.926047e-03
5.800000e+03 4.098995e-05 2.570653e-03 3.372189e-03
5.900000e+03 9.910201e-05 8.138534e-03 6.814667e-03
6.000000e+03 1.754977e-03 5.287276e-02 1.816449e-02
6.100000e+03 1.983089e-06 2.095901e-03 1.352763e-03
6.200000e+03 1.548818e-05 1.391244e-03 1.968946e-03
6.300000e+03 5.218891e-06 1.841319e-03 3.502168e-03
6.400000e+03 2.259785e-04 1.295121e-02 7.207839e-03
6.500000e+03 1.032709e-04 1.735556e-02 4.138171e-03
6.600000e+03 1.617543e-05 4.373929e-03 3.570837e-03
6.700000e+03 1.987392e-05 1.671034e-03 8.267389e-03
6.800000e+03 3.528391e-06 1.807539e-03 1.363112e-03
6.900000e+03 9.100328e-06 1.332345e-03 2.457355e-03
7.000000e+03 1.895694e-06 4.892144e-04 7.315536e-04
