# iteration  loss_bc  loss_res  l2_error
0.000000e+00 1.032382e+00 1.755026e+05 1.583800e+00
1.000000e+02 1.195868e+00 4.020173e+01 7.003405e-01
2.000000e+02 5.338964e-01 1.485588e+01 4.092800e-01
3.000000e+02 4.015504e-01 9.245123e+00 3.302537e-01
4.000000e+02 3.661839e-01 4.863288e+00 3.116034e-01
5.000000e+02 3.277783e-01 3.708579e+00 2.960083e-01
6.000000e+02 2.892556e-01 2.962516e+00 2.767245e-01
7.000000e+02 2.490690e-01 1.869393e+00 2.566319e-01
8.000000e+02 2.140592e-01 1.594269e+00 2.400175e-01
9.000000e+02 1.797512e-01 1.663302e+00 2.191403e-01
1.000000e+03 1.489946e-01 1.100442e+00 1.996127e-01
1.100000e+03 1.245147e-01 7.879674e-01 1.822056e-01
1.200000e+03 1.015622e-01 1.159295e+00 1.651918e-01
1.300000e+03 8.286679e-02 7.905912e-01 1.469488e-01
1.400000e+03 6.591880e-02 7.519375e-01 1.334639e-01
1.500000e+03 5.267791e-02 6.173257e-01 1.183128e-01
1.600000e+03 4.055790e-02 8.272062e-01 1.046091e-01
1.700000e+03 3.197785e-02 5.025816e-01 9.276139e-02
1.800000e+03 2.462058e-02 5.666901e-01 8.163485e-02
1.900000e+03 1.895401e-02 6.345909e-01 7.205447e-02
2.000000e+03 1.422537e-02 3.535464e-01 6.194377e-02
2.100000e+03 1.070337e-02 4.544916e-01 5.320945e-02
2.200000e+03 7.913698e-03 5.564263e-01 4.573303e-02
2.300000e+03 5.766707e-03 4.846458e-01 3.820727e-02
2.400000e+03 4.324036e-03 6.523862e-01 3.379762e-02
2.500000e+03 2.828963e-03 7.010557e-01 2.751184e-02
2.600000e+03 2.009932e-03 4.806823e-01 2.353347e-02
2.700000e+03 1.332687e-03 8.283595e-01 1.964119e-02
2.800000e+03 8.027292e-04 5.917761e-01 1.469812e-02
2.900000e+03 6.039505e-04 9.043005e-01 1.244357e-02
3.000000e+03 4.175173e-04 5.225192e-01 1.012418e-02
3.100000e+03 4.010274e-04 2.210290e+00 9.431251e-03
3.200000e+03 1.913160e-04 1.129979e+00 6.473031e-03
3.300000e+03 9.946760e-05 1.696038e+00 6.312574e-03
3.400000e+03 8.230063e-05 1.183706e+00 7.180260e-03
3.500000e+03 1.021241e-04 3.617579e+00 9.485393e-03
3.600000e+03 1.844997e-04 1.185915e+01 1.009893e-02
3.700000e+03 1.733520e-04 2.721359e+00 6.645953e-03
3.800000e+03 1.695927e-04 2.820807e+00 8.344680e-03
3.900000e+03 4.472192e-05 5.969876e+00 4.401683e-03
4.000000e+03 1.072226e-04 5.810595e+00 6.539924e-03
4.100000e+03 2.255170e-05 1.308028e+01 7.782263e-03
4.200000e+03 9.231465e-05 5.227949e+00 1.094208e-02
4.300000e+03 4.768730e-04 9.509077e+00 1.230771e-02
4.400000e+03 1.530885e-03 3.361098e+01 3.744264e-02
4.500000e+03 6.856587e-04 6.222679e+00 1.688785e-02
4.600000e+03 5.059963e-04 1.502566e+00 1.392421e-02
4.700000e+03 3.218001e-04 3.279188e-01 8.069173e-03
4.800000e+03 1.718370e-04 4.241385e-01 8.280164e-03
4.900000e+03 4.565068e-05 7.525244e-01 4.567535e-03
5.000000e+03 3.504011e-05 8.589973e-01 4.380495e-03
5.100000e+03 4.639400e-05 9.349234e-01 3.974146e-03
5.200000e+03 8.945723e-06 1.621856e+00 3.070585e-03
5.300000e+03 8.429227e-06 1.297785e+00 5.889969e-03
5.400000e+03 5.945047e-06 1.749393e+01 1.706458e-02
5.500000e+03 3.442732e-04 3.643382e+01 4.280286e-02
5.600000e+03 5.127510e-04 7.125613e+00 1.821204e-02
5.700000e+03 1.800170e-04 7.321432e-01 8.877539e-03
5.800000e+03 6.970137e-05 2.216903e-01 5.152906e-03
5.900000e+03 2.263114e-05 5.866612e-01 2.870322e-03
6.000000e+03 2.026058e-05 4.064530e-01 1.523195e-03
6.100000e+03 7.166228e-07 7.125838e-01 1.982239e-03
6.200000e+03 6.309828e-05 1.002950e+01 8.511795e-03
6.300000e+03 3.376280e-05 2.790347e+00 4.766529e-03
6.400000e+03 9.355920e-06 1.171740e+00 3.775839e-03
6.500000e+03 1.182620e-05 1.374307e+00 3.165567e-03
6.600000e+03 1.725637e-05 4.080095e+00 1.243387e-02
6.700000e+03 2.941053e-04 8.520955e+00 1.260567e-02
6.800000e+03 1.573386e-05 4.935025e+00 7.946850e-03
6.900000e+03 6.878504e-05 8.383129e+00 8.044846e-03
7.000000e+03 1.989219e-05 6.667311e+00 1.770775e-02
7.100000e+03 3.105935e-05 4.757319e+00 1.171931e-02
7.200000e+03 2.718533e-05 8.193956e+00 8.527640e-03
7.300000e+03 1.061492e-04 1.182659e+01 8.558536e-03
7.400000e+03 1.044748e-04 2.356930e+00 4.460776e-03
7.500000e+03 5.425152e-05 2.263473e-01 6.662859e-03
7.600000e+03 3.783382e-05 2.226162e-01 3.582760e-03
7.700000e+03 6.376908e-06 2.490792e-01 2.223964e-03
7.800000e+03 8.389346e-06 1.482507e-01 1.654669e-03
7.900000e+03 7.025215e-07 6.600546e-01 1.718248e-03
8.000000e+03 4.571629e-05 3.460299e+00 5.476629e-03
8.100000e+03 3.098621e-05 1.889291e+01 1.556759e-02
8.200000e+03 5.283092e-05 6.928811e+00 1.536238e-02
8.300000e+03 3.913416e-05 1.016154e+00 5.928635e-03
8.400000e+03 7.783005e-06 7.615331e-01 3.973606e-03
8.500000e+03 4.561522e-06 1.246980e-01 1.048452e-03
8.600000e+03 1.971969e-06 3.332687e-01 2.051709e-03
8.700000e+03 1.064757e-05 1.055508e+00 4.220584e-03
8.800000e+03 1.396401e-05 1.863630e+00 6.429108e-03
8.900000e+03 1.109005e-06 1.757280e+00 4.482715e-03
9.000000e+03 2.000304e-05 2.772193e+00 5.382537e-03
9.100000e+03 1.755108e-05 4.268243e+00 9.842428e-03
9.200000e+03 1.340259e-04 3.578780e+00 7.424618e-03
9.300000e+03 3.501873e-05 1.082568e+00 8.889886e-03
9.400000e+03 1.006480e-05 2.656515e+00 6.705307e-03
9.500000e+03 1.554487e-05 1.162050e+00 6.064063e-03
9.600000e+03 8.002920e-06 4.967977e-01 2.568254e-03
9.700000e+03 5.296324e-06 4.171526e-01 2.977769e-03
9.800000e+03 2.483493e-05 1.417871e+00 2.165628e-03
9.900000e+03 7.773982e-07 1.595650e+01 1.153808e-02
1.000000e+04 1.298547e-04 8.242214e+00 1.512608e-02
1.010000e+04 9.603691e-05 2.353368e+00 8.417506e-03
1.020000e+04 9.673406e-06 7.351636e-01 3.411557e-03
1.030000e+04 5.306782e-06 8.028536e-01 1.731542e-03
1.040000e+04 7.931779e-06 9.777017e-01 4.178659e-03
1.050000e+04 6.604469e-06 4.807623e-01 2.434729e-03
1.060000e+04 8.205664e-06 7.182147e-01 3.076485e-03
1.070000e+04 2.943675e-07 2.574701e-01 1.891181e-03
1.080000e+04 2.209870e-06 9.985171e-02 1.623001e-03
1.090000e+04 7.181996e-06 5.189753e-01 2.861767e-03
1.100000e+04 1.327469e-06 1.042499e+00 3.001536e-03
1.110000e+04 1.335456e-05 8.929386e-01 6.652176e-03
