# iteration  l2_NN  l2_FF  l2_mFF
0.000000e+00 2.554908e+00 3.410550e+00 2.141226e+00
1.000000e+02 1.646228e+00 2.660501e+00 1.454175e+00
2.000000e+02 1.783598e+00 2.358167e+00 1.033981e+00
3.000000e+02 1.187949e+00 2.115537e+00 8.483472e-01
4.000000e+02 1.258062e+00 1.916696e+00 7.557398e-01
5.000000e+02 9.776370e-01 1.715520e+00 7.416449e-01
6.000000e+02 9.016478e-01 1.532593e+00 7.264246e-01
7.000000e+02 1.101731e+00 1.384929e+00 7.031652e-01
8.000000e+02 1.068250e+00 1.233192e+00 6.860796e-01
9.000000e+02 7.641367e-01 1.114835e+00 7.039724e-01
1.000000e+03 6.332226e-01 1.005373e+00 6.946247e-01
1.100000e+03 7.687851e-01 9.083677e-01 6.948958e-01
1.200000e+03 9.199501e-01 8.122099e-01 6.818981e-01
1.300000e+03 7.135674e-01 7.318345e-01 6.567926e-01
1.400000e+03 6.937716e-01 6.577140e-01 6.644329e-01
1.500000e+03 7.333123e-01 5.921857e-01 6.600103e-01
1.600000e+03 5.871049e-01 5.318199e-01 6.504627e-01
1.700000e+03 7.632408e-01 4.880579e-01 6.465966e-01
1.800000e+03 8.375236e-01 4.438517e-01 6.349991e-01
1.900000e+03 8.344148e-01 4.065707e-01 6.280950e-01
2.000000e+03 4.991370e-01 3.831157e-01 6.262343e-01
2.100000e+03 6.262867e-01 3.590986e-01 6.190001e-01
2.200000e+03 5.893488e-01 3.408435e-01 6.164603e-01
2.300000e+03 7.852452e-01 3.311922e-01 6.182142e-01
2.400000e+03 5.921615e-01 3.161002e-01 6.003953e-01
2.500000e+03 3.260019e-01 3.105294e-01 5.842595e-01
2.600000e+03 4.744728e-01 3.078091e-01 5.778890e-01
2.700000e+03 3.819603e-01 3.043230e-01 5.760395e-01
2.800000e+03 5.361346e-01 2.999365e-01 5.676795e-01
2.900000e+03 5.178934e-01 2.982851e-01 5.558161e-01
3.000000e+03 3.734410e-01 2.970450e-01 5.562821e-01
3.100000e+03 3.626056e-01 2.950277e-01 5.335085e-01
3.200000e+03 5.504527e-01 2.934555e-01 5.290522e-01
3.300000e+03 5.225307e-01 2.948137e-01 5.280934e-01
3.400000e+03 4.532013e-01 2.921738e-01 5.160675e-01
3.500000e+03 4.040667e-01 2.947968e-01 5.037659e-01
3.600000e+03 5.908274e-01 2.957613e-01 5.020517e-01
3.700000e+03 5.399741e-01 2.943295e-01 4.979383e-01
3.800000e+03 5.134885e-01 2.893326e-01 4.830407e-01
3.900000e+03 4.824920e-01 2.919928e-01 4.788867e-01
4.000000e+03 4.254711e-01 2.932749e-01 4.687063e-01
4.100000e+03 3.554257e-01 2.902549e-01 4.598151e-01
4.200000e+03 3.454654e-01 2.933382e-01 4.466483e-01
4.300000e+03 3.422058e-01 2.908658e-01 4.432806e-01
4.400000e+03 3.794958e-01 2.931569e-01 4.346355e-01
4.500000e+03 4.238395e-01 2.896200e-01 4.273134e-01
4.600000e+03 4.132278e-01 2.915895e-01 4.237326e-01
4.700000e+03 3.932501e-01 2.930902e-01 4.112407e-01
4.800000e+03 3.811497e-01 2.880035e-01 4.041382e-01
4.900000e+03 3.197186e-01 2.928431e-01 3.943259e-01
5.000000e+03 3.519807e-01 2.927938e-01 3.867458e-01
5.100000e+03 3.059443e-01 2.899556e-01 3.772670e-01
5.200000e+03 2.873594e-01 2.917075e-01 3.709242e-01
5.300000e+03 3.316578e-01 2.880121e-01 3.677087e-01
5.400000e+03 3.173313e-01 2.899007e-01 3.663672e-01
5.500000e+03 3.130474e-01 2.876924e-01 3.567999e-01
5.600000e+03 2.899126e-01 2.863374e-01 3.556283e-01
5.700000e+03 2.959979e-01 2.873207e-01 3.366292e-01
5.800000e+03 3.394037e-01 2.854911e-01 3.404499e-01
5.900000e+03 2.906806e-01 2.829891e-01 3.227133e-01
6.000000e+03 3.799402e-01 2.873892e-01 3.242710e-01
6.100000e+03 3.779879e-01 2.865140e-01 3.149763e-01
6.200000e+03 3.894506e-01 2.862974e-01 3.234675e-01
6.300000e+03 3.942761e-01 2.858225e-01 3.096031e-01
6.400000e+03 3.909335e-01 2.875873e-01 3.027340e-01
6.500000e+03 3.620310e-01 2.847053e-01 3.042194e-01
6.600000e+03 3.881956e-01 2.850534e-01 2.976627e-01
6.700000e+03 3.494371e-01 2.813211e-01 2.896874e-01
6.800000e+03 3.513313e-01 2.809509e-01 2.912419e-01
6.900000e+03 3.682356e-01 2.833293e-01 2.793749e-01
7.000000e+03 3.984116e-01 2.784703e-01 2.780620e-01
7.100000e+03 3.959586e-01 2.813912e-01 2.782300e-01
7.200000e+03 4.166498e-01 2.789881e-01 2.711605e-01
7.300000e+03 3.726572e-01 2.774510e-01 2.615382e-01
7.400000e+03 3.919177e-01 2.757543e-01 2.670856e-01
7.500000e+03 3.866655e-01 2.780721e-01 2.639454e-01
7.600000e+03 3.582495e-01 2.778465e-01 2.574432e-01
7.700000e+03 3.884803e-01 2.777345e-01 2.572953e-01
7.800000e+03 3.580539e-01 2.747946e-01 2.487220e-01
7.900000e+03 3.670502e-01 2.760108e-01 2.410747e-01
8.000000e+03 3.683527e-01 2.750827e-01 2.491343e-01
8.100000e+03 3.475649e-01 2.738958e-01 2.356188e-01
8.200000e+03 3.647677e-01 2.744052e-01 2.384820e-01
8.300000e+03 3.488871e-01 2.743041e-01 2.357401e-01
8.400000e+03 3.143928e-01 2.719602e-01 2.373763e-01
8.500000e+03 3.143488e-01 2.713519e-01 2.337820e-01
8.600000e+03 2.899783e-01 2.698997e-01 2.285608e-01
8.700000e+03 2.996497e-01 2.728577e-01 2.280911e-01
8.800000e+03 2.897808e-01 2.688761e-01 2.250337e-01
8.900000e+03 2.711242e-01 2.728121e-01 2.244626e-01
9.000000e+03 2.627964e-01 2.687676e-01 2.294209e-01
9.100000e+03 2.517747e-01 2.687380e-01 2.145076e-01
9.200000e+03 2.577100e-01 2.710756e-01 2.152860e-01
9.300000e+03 2.702122e-01 2.698664e-01 2.138408e-01
9.400000e+03 2.419981e-01 2.670972e-01 2.102804e-01
9.500000e+03 2.497670e-01 2.678785e-01 2.126802e-01
9.600000e+03 2.448529e-01 2.702085e-01 2.098165e-01
9.700000e+03 2.296694e-01 2.718368e-01 2.183507e-01
9.800000e+03 2.547611e-01 2.689607e-01 2.054677e-01
9.900000e+03 2.367548e-01 2.673042e-01 2.098852e-01
1.000000e+04 2.289576e-01 2.673488e-01 2.013519e-01
1.010000e+04 2.258773e-01 2.665407e-01 2.007978e-01
1.020000e+04 2.186181e-01 2.629489e-01 1.990535e-01
