# iteration  loss_bc  loss_res  l2_error
0.000000e+00 7.729765e+00 4.529486e+05 3.410550e+00
1.000000e+02 5.868230e+00 1.604854e+04 2.660501e+00
2.000000e+02 4.655364e+00 5.814933e+03 2.358167e+00
3.000000e+02 3.946860e+00 3.337849e+03 2.115537e+00
4.000000e+02 3.321807e+00 2.715997e+03 1.916696e+00
5.000000e+02 2.779466e+00 1.323733e+03 1.715520e+00
6.000000e+02 2.201206e+00 1.288425e+03 1.532593e+00
7.000000e+02 1.954173e+00 7.902050e+02 1.384929e+00
8.000000e+02 1.586743e+00 6.394482e+02 1.233192e+00
9.000000e+02 1.382194e+00 5.320012e+02 1.114835e+00
1.000000e+03 1.081513e+00 2.924536e+02 1.005373e+00
1.100000e+03 9.621021e-01 3.618511e+02 9.083677e-01
1.200000e+03 8.223734e-01 2.459117e+02 8.122099e-01
1.300000e+03 6.882515e-01 2.438983e+02 7.318345e-01
1.400000e+03 5.548340e-01 1.954609e+02 6.577140e-01
1.500000e+03 4.918845e-01 2.081043e+02 5.921857e-01
1.600000e+03 4.196816e-01 1.836652e+02 5.318199e-01
1.700000e+03 3.977232e-01 1.866239e+02 4.880579e-01
1.800000e+03 3.907874e-01 1.649579e+02 4.438517e-01
1.900000e+03 3.254711e-01 1.412801e+02 4.065707e-01
2.000000e+03 3.198054e-01 1.226467e+02 3.831157e-01
2.100000e+03 3.211046e-01 1.074710e+02 3.590986e-01
2.200000e+03 2.797241e-01 1.047402e+02 3.408435e-01
2.300000e+03 2.833351e-01 9.868365e+01 3.311922e-01
2.400000e+03 2.822119e-01 1.121818e+02 3.161002e-01
2.500000e+03 2.921622e-01 9.097469e+01 3.105294e-01
2.600000e+03 2.863885e-01 8.033743e+01 3.078091e-01
2.700000e+03 2.635099e-01 1.041361e+02 3.043230e-01
2.800000e+03 2.679662e-01 7.918942e+01 2.999365e-01
2.900000e+03 2.777243e-01 7.867663e+01 2.982851e-01
3.000000e+03 3.039322e-01 5.713467e+01 2.970450e-01
3.100000e+03 2.573367e-01 6.851568e+01 2.950277e-01
3.200000e+03 2.907194e-01 7.483539e+01 2.934555e-01
3.300000e+03 2.790784e-01 5.320224e+01 2.948137e-01
3.400000e+03 2.578049e-01 5.627021e+01 2.921738e-01
3.500000e+03 2.748463e-01 6.466301e+01 2.947968e-01
3.600000e+03 2.698089e-01 5.270812e+01 2.957613e-01
3.700000e+03 2.528377e-01 4.465321e+01 2.943295e-01
3.800000e+03 2.477197e-01 4.006165e+01 2.893326e-01
3.900000e+03 2.776004e-01 4.656896e+01 2.919928e-01
4.000000e+03 2.742185e-01 5.291211e+01 2.932749e-01
4.100000e+03 2.607227e-01 5.014885e+01 2.902549e-01
4.200000e+03 2.542228e-01 5.943251e+01 2.933382e-01
4.300000e+03 2.938796e-01 4.667042e+01 2.908658e-01
4.400000e+03 2.748620e-01 4.678822e+01 2.931569e-01
4.500000e+03 2.406687e-01 4.679067e+01 2.896200e-01
4.600000e+03 2.776377e-01 4.975964e+01 2.915895e-01
4.700000e+03 2.881389e-01 4.180776e+01 2.930902e-01
4.800000e+03 2.728685e-01 5.690705e+01 2.880035e-01
4.900000e+03 2.666814e-01 4.309224e+01 2.928431e-01
5.000000e+03 2.873551e-01 4.940612e+01 2.927938e-01
5.100000e+03 2.588627e-01 4.276170e+01 2.899556e-01
5.200000e+03 2.816232e-01 3.249473e+01 2.917075e-01
5.300000e+03 2.732396e-01 6.323621e+01 2.880121e-01
5.400000e+03 2.590560e-01 4.878400e+01 2.899007e-01
5.500000e+03 2.374878e-01 4.823012e+01 2.876924e-01
5.600000e+03 2.669247e-01 3.299826e+01 2.863374e-01
5.700000e+03 2.603700e-01 4.077852e+01 2.873207e-01
5.800000e+03 2.670336e-01 4.212028e+01 2.854911e-01
5.900000e+03 2.820547e-01 3.772772e+01 2.829891e-01
6.000000e+03 2.621810e-01 4.520388e+01 2.873892e-01
6.100000e+03 2.659357e-01 3.766543e+01 2.865140e-01
6.200000e+03 2.557222e-01 4.636387e+01 2.862974e-01
6.300000e+03 2.367520e-01 4.294465e+01 2.858225e-01
6.400000e+03 2.424400e-01 4.659229e+01 2.875873e-01
6.500000e+03 2.756160e-01 3.875526e+01 2.847053e-01
6.600000e+03 2.735426e-01 5.489030e+01 2.850534e-01
6.700000e+03 2.514128e-01 3.495599e+01 2.813211e-01
6.800000e+03 2.634891e-01 3.699254e+01 2.809509e-01
6.900000e+03 2.569231e-01 3.571123e+01 2.833293e-01
7.000000e+03 2.286151e-01 3.369951e+01 2.784703e-01
7.100000e+03 2.301558e-01 3.093301e+01 2.813912e-01
