# iteration  loss_bc  loss_res  l2_error
0.000000e+00 7.710526e+00 1.089410e+04 2.554908e+00
1.000000e+02 6.606592e+00 1.039775e+04 1.646228e+00
2.000000e+02 7.597002e+00 1.201418e+04 1.783598e+00
3.000000e+02 4.053146e+00 9.729685e+03 1.187949e+00
4.000000e+02 3.651856e+00 1.004364e+04 1.258062e+00
5.000000e+02 2.042294e+00 8.316827e+03 9.776370e-01
6.000000e+02 1.724917e+00 1.097097e+04 9.016478e-01
7.000000e+02 1.354122e+00 1.023173e+04 1.101731e+00
8.000000e+02 2.416610e+00 9.666593e+03 1.068250e+00
9.000000e+02 1.441585e+00 1.042119e+04 7.641367e-01
1.000000e+03 9.237377e-01 9.729314e+03 6.332226e-01
1.100000e+03 9.676387e-01 1.108347e+04 7.687851e-01
1.200000e+03 1.803974e+00 9.453388e+03 9.199501e-01
1.300000e+03 1.077950e+00 9.650275e+03 7.135674e-01
1.400000e+03 8.798041e-01 8.800996e+03 6.937716e-01
1.500000e+03 8.295973e-01 8.515722e+03 7.333123e-01
1.600000e+03 7.428093e-01 7.939747e+03 5.871049e-01
1.700000e+03 1.141782e+00 5.405771e+03 7.632408e-01
1.800000e+03 1.423433e+00 4.669162e+03 8.375236e-01
1.900000e+03 1.141606e+00 5.335674e+03 8.344148e-01
2.000000e+03 5.567340e-01 6.089073e+03 4.991370e-01
2.100000e+03 8.208882e-01 6.486584e+03 6.262867e-01
2.200000e+03 8.130622e-01 4.592840e+03 5.893488e-01
2.300000e+03 9.212216e-01 5.301559e+03 7.852452e-01
2.400000e+03 5.173349e-01 5.073030e+03 5.921615e-01
2.500000e+03 2.726840e-01 4.997203e+03 3.260019e-01
2.600000e+03 3.486293e-01 4.839569e+03 4.744728e-01
2.700000e+03 2.861878e-01 5.126070e+03 3.819603e-01
2.800000e+03 2.798466e-01 5.176540e+03 5.361346e-01
2.900000e+03 4.025001e-01 4.894012e+03 5.178934e-01
3.000000e+03 2.715003e-01 4.536863e+03 3.734410e-01
3.100000e+03 1.729681e-01 4.319621e+03 3.626056e-01
3.200000e+03 3.700609e-01 3.054568e+03 5.504527e-01
3.300000e+03 4.525528e-01 2.613324e+03 5.225307e-01
3.400000e+03 3.616522e-01 1.633609e+03 4.532013e-01
3.500000e+03 2.787551e-01 1.638319e+03 4.040667e-01
3.600000e+03 5.334501e-01 1.214405e+03 5.908274e-01
3.700000e+03 5.632072e-01 7.481621e+02 5.399741e-01
3.800000e+03 5.592083e-01 8.921884e+02 5.134885e-01
3.900000e+03 5.050455e-01 5.963000e+02 4.824920e-01
4.000000e+03 4.063612e-01 4.540959e+02 4.254711e-01
4.100000e+03 3.544707e-01 5.882428e+02 3.554257e-01
4.200000e+03 3.663296e-01 6.355695e+02 3.454654e-01
4.300000e+03 3.717549e-01 4.649986e+02 3.422058e-01
4.400000e+03 4.344832e-01 2.342367e+02 3.794958e-01
4.500000e+03 4.716272e-01 1.279554e+02 4.238395e-01
4.600000e+03 4.464672e-01 2.307705e+02 4.132278e-01
4.700000e+03 4.558051e-01 1.521234e+02 3.932501e-01
4.800000e+03 4.455482e-01 2.460616e+02 3.811497e-01
4.900000e+03 2.787895e-01 1.090683e+02 3.197186e-01
5.000000e+03 3.250330e-01 1.677870e+02 3.519807e-01
5.100000e+03 2.638090e-01 7.934351e+01 3.059443e-01
5.200000e+03 2.378992e-01 1.190082e+02 2.873594e-01
5.300000e+03 2.823166e-01 9.329030e+01 3.316578e-01
5.400000e+03 2.650104e-01 6.800218e+01 3.173313e-01
5.500000e+03 3.155545e-01 9.006494e+01 3.130474e-01
5.600000e+03 2.740332e-01 1.150434e+02 2.899126e-01
5.700000e+03 2.817713e-01 8.454131e+01 2.959979e-01
5.800000e+03 3.035747e-01 7.712523e+01 3.394037e-01
5.900000e+03 2.642765e-01 8.076276e+01 2.906806e-01
6.000000e+03 4.416386e-01 8.374339e+01 3.799402e-01
6.100000e+03 4.326805e-01 6.202431e+01 3.779879e-01
6.200000e+03 4.431434e-01 1.001146e+02 3.894506e-01
6.300000e+03 4.406674e-01 5.553982e+01 3.942761e-01
6.400000e+03 4.381112e-01 6.110290e+01 3.909335e-01
6.500000e+03 4.087299e-01 4.714382e+01 3.620310e-01
6.600000e+03 4.689553e-01 8.841409e+01 3.881956e-01
6.700000e+03 3.730348e-01 4.379734e+01 3.494371e-01
6.800000e+03 4.254479e-01 4.464869e+01 3.513313e-01
6.900000e+03 4.304437e-01 1.438103e+02 3.682356e-01
7.000000e+03 4.608414e-01 3.972483e+01 3.984116e-01
7.100000e+03 4.734083e-01 3.337065e+01 3.959586e-01
7.200000e+03 4.929848e-01 5.098764e+01 4.166498e-01
7.300000e+03 4.782129e-01 2.815485e+01 3.726572e-01
7.400000e+03 5.381247e-01 5.136536e+01 3.919177e-01
7.500000e+03 4.697489e-01 4.503465e+01 3.866655e-01
7.600000e+03 4.540497e-01 4.362968e+01 3.582495e-01
7.700000e+03 4.857592e-01 3.496428e+01 3.884803e-01
7.800000e+03 4.351963e-01 3.193851e+01 3.580539e-01
7.900000e+03 4.166981e-01 4.162491e+01 3.670502e-01
