# iteration  loss_bc  loss_res  l2_error
0.000000e+00 3.294125e+00 2.025652e+05 2.141226e+00
1.000000e+02 2.652788e+00 9.657472e+03 1.454175e+00
2.000000e+02 1.964957e+00 2.578885e+03 1.033981e+00
3.000000e+02 1.433031e+00 1.000377e+03 8.483472e-01
4.000000e+02 1.366792e+00 8.333536e+02 7.557398e-01
5.000000e+02 1.316153e+00 4.478194e+02 7.416449e-01
6.000000e+02 1.342968e+00 4.070875e+02 7.264246e-01
7.000000e+02 1.082099e+00 4.049214e+02 7.031652e-01
8.000000e+02 1.165749e+00 2.315243e+02 6.860796e-01
9.000000e+02 1.119938e+00 1.822211e+02 7.039724e-01
1.000000e+03 1.162550e+00 1.450349e+02 6.946247e-01
1.100000e+03 1.155927e+00 1.820435e+02 6.948958e-01
1.200000e+03 1.089858e+00 1.185801e+02 6.818981e-01
1.300000e+03 1.120224e+00 9.785587e+01 6.567926e-01
1.400000e+03 1.020658e+00 8.609408e+01 6.644329e-01
1.500000e+03 1.096920e+00 8.535425e+01 6.600103e-01
1.600000e+03 1.020090e+00 7.067876e+01 6.504627e-01
1.700000e+03 1.001222e+00 8.320660e+01 6.465966e-01
1.800000e+03 1.032146e+00 6.762389e+01 6.349991e-01
1.900000e+03 9.818181e-01 7.373003e+01 6.280950e-01
2.000000e+03 9.707626e-01 3.722638e+01 6.262343e-01
2.100000e+03 9.502245e-01 4.136958e+01 6.190001e-01
2.200000e+03 9.408161e-01 5.203284e+01 6.164603e-01
2.300000e+03 9.270670e-01 4.326475e+01 6.182142e-01
2.400000e+03 9.122561e-01 5.128610e+01 6.003953e-01
2.500000e+03 9.200619e-01 3.488261e+01 5.842595e-01
2.600000e+03 8.780075e-01 3.916297e+01 5.778890e-01
2.700000e+03 8.328288e-01 3.924296e+01 5.760395e-01
2.800000e+03 8.009890e-01 2.490778e+01 5.676795e-01
2.900000e+03 7.386476e-01 3.402264e+01 5.558161e-01
3.000000e+03 7.560973e-01 2.683585e+01 5.562821e-01
3.100000e+03 6.846960e-01 4.042139e+01 5.335085e-01
3.200000e+03 7.271141e-01 2.548652e+01 5.290522e-01
3.300000e+03 7.361639e-01 2.227856e+01 5.280934e-01
3.400000e+03 6.892054e-01 2.624439e+01 5.160675e-01
3.500000e+03 6.580223e-01 2.116822e+01 5.037659e-01
